"VEGAN_CODE","VEGAN_NAME","STD_DAY","CATE_CODE","GU","DONG","GU_CODE","DONG_CODE","ADD_STR","LAT","LON","SI_DO_CODE","SI_DO"
4298,"한촌설렁탕","2022-11-02","H113","서대문구","북가좌동",11130,1141011900,"서울 서대문구 응암로 67, 1층",37.5792159,126.9105669,11,"서울특별시"
4299,"소문난 집","2022-11-02","H113","서대문구","북가좌동",11130,1141011900,"서울특별시 서대문구 응암로 64(북가좌동)",37.5787217,126.9107099,11,"서울특별시"
4300,"왕돈가스 왕냉면","2022-11-02","H113","서대문구","북가좌동",11130,1141011900,"서울특별시 서대문구 응암로 89",37.5810847,126.9119322,11,"서울특별시"
4301,"한솔숯불식당 ","2022-11-02","H113","서대문구","북가좌동",11130,1141011900,"서울특별시 서대문구 증가로23나길 32(북가좌동,지상1층)",37.5805931,126.9123696,11,"서울특별시"
4302,"명당횟집","2022-11-02","H113","서대문구","북가좌동",11130,1141011900,"서울특별시 서대문구 응암로 87, 고영빌딩 1층",37.5808033,126.9117099,11,"서울특별시"
4303,"오카이스시","2022-11-02","H113","서대문구","북가좌동",11130,1141011900,"서울특별시 서대문구 응암로 76",37.5796473,126.911421,11,"서울특별시"
4304,"무안갯벌낙지","2022-11-02","H113","서대문구","북가좌동",11130,1141011900,"서울특별시 서대문구 응암로1길 3(북가좌동)",37.5809636,126.9115038,11,"서울특별시"
4305,"국가대패","2022-11-02","H113","서대문구","북가좌동",11130,1141011900,"서울특별시 서대문구 응암로 63",37.5789249,126.9102768,11,"서울특별시"
4306,"닭공방","2022-11-02","H113","서대문구","북가좌동",11130,1141011900,"서울특별시 서대문구 응암로 78(1호동 2층 201호 북가좌동)",37.5797834,126.9115209,11,"서울특별시"
4307,"초밥짓는 아저씨","2022-11-02","H113","서대문구","북가좌동",11130,1141011900,"서울특별시 서대문구 응암로 103(1층 북가좌동)",37.582092,126.9127101,11,"서울특별시"
4308,"최고집 칼국수","2022-11-02","H113","서대문구","북가좌동",11130,1141011900,"서울특별시 서대문구 응암로 59(북가좌동)",37.5786074,126.9100437,11,"서울특별시"
4582,"오발탄","2022-11-02","H113","중구","필동2가",11020,1114013800,"서울특별시 중구 퇴계로 205(충무로4가)",37.5616794,126.9945812,11,"서울특별시"
5197,"놀부보쌈과 돌솥밥","2022-11-02","H113","중구","을지로6가",11020,1114014800,"서울특별시 중구 을지로43길 34, 2층(을지로6가)",37.5676104,127.007621,11,"서울특별시"
5198,"본도시락 동대문점","2022-11-02","H113","중구","을지로6가",11020,1114014800,"서울특별시 중구 을지로 250 아그네스스탠드클럽",37.5660991,127.005762,11,"서울특별시"
5199,"본죽 동대문밀리오레점","2022-11-02","H113","중구","을지로6가",11020,1114014800,"서울특별시 중구 장충단로13길 43 (을지로6가) 내 제1,2층 7호,8호",37.5680705,127.0066187,11,"서울특별시"
5200,"에베레스트 (동대문 굿모닝씨티)","2022-11-02","H113","중구","을지로6가",11020,1114014800,"서울특별시 중구 장충단로 247, 지하3층",37.5668697,127.0073931,11,"서울특별시"
4879,"샐러디 (종로구청점)","2022-11-02","H113","종로구","견지동",11010,1111012900,"서울특별시 종로구 삼봉로 95, 1층 110호(견지동, 종로1가 대성 스카이렉스)",37.572613,126.9824345,11,"서울특별시"
4958,"림왕돈까스","2022-11-02","H113","중구","예장동",11020,1114014200,"서울특별시 중구 소파로 91-1(예장동)",37.5567772,126.985038,11,"서울특별시"
